year,population,estimated_incidence_per_100k,incidence_lower_bound,incidence_upper_bound,estimated_tb_cases,estimated_mortality_per_100k,mortality_lower_bound,mortality_upper_bound,estimated_tb_deaths,notification_rate_per_100k,estimated_case_detection_rate_pct,reported_tb_cases,estimated_case_detection_gap,reported_share_estimated_pct
2000,5305030,59.0,29.0,170.0,3100.0,15.0,6.8,28.0,820.0,25.0,43.0,1341.0,1759.0,43.25806451612903
2001,5403641,62.0,32.0,162.0,3300.0,15.0,7.1,26.0,810.0,,,,,
2002,5508418,63.0,35.0,155.0,3500.0,14.0,7.2,24.0,780.0,33.0,52.0,1824.0,1676.0,52.114285714285714
2003,5619395,64.0,36.0,147.0,3600.0,14.0,7.4,23.0,800.0,34.0,53.0,1917.0,1683.0,53.25
2004,5736691,65.0,38.0,139.0,3700.0,16.0,8.6,27.0,940.0,29.0,45.0,1653.0,2047.0,44.67567567567568
2005,5858788,64.0,38.0,131.0,3700.0,13.0,7.3,21.0,780.0,36.0,56.0,2098.0,1602.0,56.7027027027027
2006,5980212,63.0,38.0,123.0,3700.0,14.0,7.5,22.0,810.0,34.0,54.0,2022.0,1678.0,54.648648648648646
2007,6104372,60.0,37.0,115.0,3700.0,12.0,6.7,19.0,750.0,35.0,58.0,2119.0,1581.0,57.270270270270274
2008,6235439,57.0,35.0,107.0,3600.0,12.0,6.3,19.0,740.0,32.0,57.0,2010.0,1590.0,55.833333333333336
2009,6366691,53.0,33.0,99.0,3400.0,10.0,5.1,17.0,640.0,33.0,62.0,2096.0,1304.0,61.64705882352941
2010,6497834,49.0,30.0,89.0,3200.0,9.8,4.5,17.0,640.0,,,,,
2011,6343210,43.0,27.0,79.0,2700.0,9.4,4.3,17.0,600.0,24.0,56.0,1518.0,1182.0,56.222222222222214
2012,6179328,38.0,24.0,71.0,2400.0,6.8,2.8,13.0,420.0,25.0,66.0,1549.0,851.0,64.54166666666666
2013,6304630,35.0,22.0,65.0,2200.0,6.8,2.4,14.0,430.0,21.0,61.0,1344.0,856.0,61.09090909090909
2014,6427249,33.0,21.0,60.0,2100.0,7.2,2.3,15.0,460.0,18.0,55.0,1153.0,947.0,54.9047619047619
2015,6531828,32.0,20.0,58.0,2100.0,7.9,2.0,18.0,510.0,15.0,47.0,966.0,1134.0,46.0
2016,6632119,32.0,20.0,60.0,2200.0,7.3,2.1,16.0,480.0,17.0,53.0,1131.0,1069.0,51.40909090909091
2017,6738773,34.0,22.0,64.0,2300.0,6.9,2.3,14.0,460.0,20.0,59.0,1363.0,937.0,59.26086956521739
2018,6849053,37.0,23.0,69.0,2500.0,5.3,1.9,10.0,360.0,27.0,72.0,1815.0,685.0,72.6
2019,6951035,40.0,24.0,76.0,2800.0,4.3,1.7,8.1,300.0,32.0,80.0,2215.0,585.0,79.10714285714285
2020,7045405,43.0,26.0,85.0,3000.0,8.7,3.4,16.0,610.0,25.0,57.0,1748.0,1252.0,58.266666666666666
2021,7135172,47.0,28.0,96.0,3400.0,9.5,3.8,18.0,680.0,27.0,58.0,1944.0,1456.0,57.1764705882353
2022,7223810,52.0,31.0,108.0,3800.0,10.0,4.6,19.0,760.0,30.0,58.0,2168.0,1632.0,57.05263157894736
2023,7305660,57.0,33.0,123.0,4200.0,12.0,5.7,21.0,900.0,32.0,55.0,2318.0,1882.0,55.19047619047619
2024,7381021,63.0,36.0,138.0,4700.0,13.0,6.1,21.0,930.0,37.0,58.0,2712.0,1988.0,57.702127659574465
